path,before,after,saved_pct,action
content - research talks/2011 Josephson Junction Arrays - Parasitic Capacitances (Minev).pdf,2137837,1590555,25.6,compress
"content - research talks/2011 Josephson Parametric Amplifier - Optimizing (Minev, APS March Meeting Poster 2011).pdf",4782344,542199,88.7,compress
content - research talks/2012 Superconducting Whispering Gallery Modes (Minev).pdf,1577856,1577856,-17.4,keep-orig
content - research talks/2012 Wafer Assembled Whispering Gallery Mode Resonator (Minev).pdf,3242861,2534894,21.8,compress
content - research talks/2012 Whispering Gallery Modes (Minev).pdf,2786201,1996535,28.3,compress
"content - research talks/2013 Superconducting Whispering Gallery Mode Resonators (Minev, APS MM).pdf",1975780,1247909,36.8,compress
content - research talks/2014 2.5D Circuit Quantum Electrodynamics (cQED) - Whispering Gallery Modes.pdf,4446720,2872567,35.4,compress
content - research talks/2015 2.5D cQED coherence - Exploring Drawbridge Transmon Coherence (Minev).pdf,3044804,2198503,27.8,compress
content - research talks/2019 Energy Participation Ratio (EPR) for Superconducting Qubit Design (Minev).pdf,10861581,6008252,44.7,compress
"content - research talks/2019 Quantum Sensing Keynote (Padua, Italy, Minev).pdf",10139209,6595575,34.9,compress
"content - research talks/2020 MIT Tech Review Emerging Technology EmTech (Minev, Broad Talk).pdf",1084885,637698,41.2,compress
content - research talks/2020 pyEPR Meeting - Energy Participation Ratio (EPR) for Superconducting Qubit Design (Minev).pdf,2275782,1502262,34.0,compress
"content - research talks/2021 Qiskit Metal - Overview of Quantum Hardware Design - Energy, Circuits, Metal (Minev, IEEE Quantum Week).pdf",8706197,4667777,46.4,compress
"content - research talks/2021 Quantum Hardware Design - Energy, Circuits, Metal (Qiskit Metal, EPR) (Minev, Qiskit Seminar).pdf",19050222,14141527,25.8,compress
content - research talks/2021 To Catch and Reverse a Quantum Jump Mid-Flight (Minev).pdf,9987683,6353176,36.4,compress
content - research talks/2021 To Design Quantum Hardware - Qiskit Metal and Energy Participation Ratio (EPR) for Superconducting Qubit Design (Minev).pdf,14339959,10228714,28.7,compress
